00000005252~АКБ 6СТ-75 "Topla ASIA"  В01  (JIS D26L)  (обр.)~Topla~ASIA 70-85 (обратный)~75~740~260/172/225~Конус  стандарт~17,8~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~11 450~Калуга "Батарейка"
00000005252~АКБ 6СТ-75 "Topla ASIA"  В01  (JIS D26L)  (обр.)~Topla~ASIA 70-85 (обратный)~75~740~260/172/225~Конус  стандарт~17,8~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~11 450~Тамбов "Батарейка" Гастелло (Авторынок)
00000008068~АКБ 6СТ-105 "Topla ASIA EFB STOP&GO"  В01  (JIS D31R)~Topla~ASIA 90-110 (прямой)~105~900~303/172/225~Конус  стандарт~23,3~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~17 150~
00000008068~АКБ 6СТ-105 "Topla ASIA EFB STOP&GO"  В01  (JIS D31R)~Topla~ASIA 90-110 (прямой)~105~900~303/172/225~Конус  стандарт~23,3~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~17 150~Курск "Батарейка" 50летОктября
00000008068~АКБ 6СТ-105 "Topla ASIA EFB STOP&GO"  В01  (JIS D31R)~Topla~ASIA 90-110 (прямой)~105~900~303/172/225~Конус  стандарт~23,3~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~17 150~
00000008069~АКБ 6СТ-105 "Topla ASIA EFB STOP&GO"  В01  (JIS D31L)  (обр.)~Topla~ASIA 90-110 (обратный)~105~900~303/172/225~Конус  стандарт~23,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~17 150~
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 000~Курск "Батарейка" 50летОктября
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 3~8 000~Белгород "Батарейка"
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~Железногорск "Батарейка"
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~Брянск "Батарейка" Костычева
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~Брянск "Батарейка" Красный Маяк
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~Брянск "Батарейка" Нахимова
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~Калуга "Батарейка"
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 000~Тула "Батарейка"
00000005253~АКБ 6СТ-54 "Topla TOP" кубик (низкий) (обр.)~Topla~45-60 (кубик) (обратный)~54~510~207/175/175~Конус  стандарт~12,3~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 000~Тамбов "Батарейка" Гастелло (Авторынок)
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 217~8 850~Курск "Батарейка" Стрела
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 217~8 850~Курск "Батарейка" Моковская
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 10~8 850~Курск "Батарейка" 50летОктября
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 5~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 7~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Алексеевка "Батарейка"
